epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.02399,0.00476,0.00077,0.99874,0.00817,0.99733,0.8285
2,0.00588,0.00297,0.00012,0.99915,0.00741,0.99767,0.8411
3,0.00366,0.00207,6e-05,0.99941,0.00709,0.99783,0.8658
4,0.00325,0.00194,5e-05,0.9995,0.00676,0.99833,0.8434
5,0.00282,0.00183,4e-05,0.99941,0.00648,0.99833,0.8757
6,0.00174,0.00102,3e-05,0.9998,0.00665,0.99883,0.8607
7,0.00166,0.00099,3e-05,0.99976,0.00921,0.99717,0.8967
8,0.00155,0.00095,2e-05,0.99974,0.00836,0.99783,0.8235
9,0.00105,0.00055,2e-05,0.99993,0.00593,0.99867,0.8885
10,0.0012,0.00076,2e-05,0.9997,0.0054,0.999,0.8852
11,0.00057,0.00023,1e-05,0.99998,0.00712,0.99833,0.853
12,0.00045,0.00017,1e-05,1.0,0.00566,0.99883,0.8759
13,0.00059,0.00034,1e-05,0.99991,0.00742,0.99867,0.8551
14,0.00044,0.00019,1e-05,0.99998,0.00703,0.99833,0.8669
15,0.00032,0.00011,1e-05,0.99998,0.00625,0.9985,0.8711
16,0.00029,9e-05,1e-05,1.0,0.00652,0.99867,0.8636
17,0.00026,8e-05,1e-05,1.0,0.00625,0.99883,0.8766
18,0.00026,8e-05,1e-05,1.0,0.00693,0.9985,0.8708
19,0.00022,6e-05,1e-05,1.0,0.00678,0.99867,0.8691
20,0.00024,8e-05,1e-05,1.0,0.00682,0.9985,0.8701
