epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.01379,0.00286,0.00109,0.9993,0.00853,0.998,0.8617
2,0.00481,0.00243,0.00024,0.99931,0.00764,0.99817,0.853
3,0.00385,0.00247,0.00014,0.99928,0.01033,0.99717,0.8591
4,0.00252,0.0015,0.0001,0.99961,0.00851,0.99817,0.8465
5,0.00274,0.00191,8e-05,0.99946,0.00841,0.99783,0.8901
6,0.00147,0.00081,7e-05,0.99976,0.00952,0.998,0.8579
7,0.0012,0.00066,5e-05,0.99987,0.00653,0.9985,0.8925
8,0.00159,0.00113,5e-05,0.99967,0.00904,0.99817,0.8546
9,0.00155,0.00106,5e-05,0.9997,0.00637,0.99817,0.898
10,0.00089,0.0005,4e-05,0.99983,0.00632,0.9985,0.8916
11,0.00086,0.0005,4e-05,0.99983,0.00818,0.9985,0.8869
12,0.00062,0.00031,3e-05,0.99991,0.00443,0.9985,0.9068
13,0.00042,0.00015,3e-05,0.99996,0.00491,0.999,0.8991
14,0.00034,0.00011,2e-05,1.0,0.00628,0.99867,0.8799
15,0.0003,0.00011,2e-05,1.0,0.00454,0.99867,0.891
16,0.00027,9e-05,2e-05,1.0,0.00548,0.9985,0.8854
17,0.00025,8e-05,2e-05,1.0,0.00546,0.99883,0.8895
18,0.00023,7e-05,2e-05,1.0,0.00606,0.9985,0.8788
19,0.00022,8e-05,1e-05,1.0,0.00601,0.99883,0.8834
20,0.00022,7e-05,2e-05,1.0,0.006,0.99867,0.8845
